tradingsymbol,exchange,quantity,t1_quantity,last_price,close_price,average_price,calculated,cap,unrealized,perc,perc_gr_0
ADANIPOWER,NSE,25,0,399.4,401.1,407.5,25,10187,-160.0,-1.57,False
AHLADA,NSE,208,0,112.2,111.0,120.05,208,24970,-1882.4,-7.54,False
ANANDRATHI,BSE,12,0,2079.2,2010.45,2044.45,12,24533,-408.0,-1.66,False
ARIHANTCAP,NSE,361,0,69.05,67.65,69.032548,361,24920,-499.1,-2.0,False
ASTERDM,BSE,29,0,336.8,333.65,339.468965,29,9844,-168.75,-1.71,False
BAJAJ-AUTO,NSE,2,0,5392.05,5418.9,5404.85,2,10809,28.1,0.26,True
BAJAJCON,NSE,40,0,226.05,219.85,247.6,40,9904,-1110.0,-11.21,False
BAJAJFINSV,NSE,6,0,1596.0,1582.25,1573.65,6,9441,51.6,0.55,True
BALKRISIND,BSE,4,0,2582.7,2583.6,2592.4,4,10369,-35.2,-0.34,False
BALRAMCHIN,NSE,0,23,437.5,432.6,437.519565,23,10062,-113.15,-1.12,False
BHEL,NSE,0,78,129.05,125.8,128.95,78,10058,-245.7,-2.44,False
BIL,BSE,40,0,232.35,230.7,255.0175,40,10200,-972.7,-9.54,False
BLUESTARCO,NSE,10,0,950.0,921.8,968.985,10,9689,-471.85,-4.87,False
BORORENEW,NSE,0,23,431.5,430.25,436.66087,23,10043,-147.45,-1.47,False
BRNL,BSE,588,0,40.49,41.2,42.407482,588,24935,-710.0,-2.85,False
BSOFT,NSE,17,0,583.4,583.0,586.65,17,9973,-62.05,-0.62,False
CENTENKA,BSE,54,0,413.0,414.2,455.75,54,24610,-2243.7,-9.12,False
CHOLAHLDNG,BSE,21,0,1126.3,1116.3,1140.0,21,23940,-497.7,-2.08,False
CINEVISTA,BSE,844,0,17.6,18.2,20.225,844,17069,-1709.1,-10.01,False
COCHINSHIP,BSE,0,9,1052.5,1037.7,1061.838889,9,9556,-217.25,-2.27,False
CRAFTSMAN,NSE,2,0,4888.05,4909.1,4927.0,2,9854,-35.8,-0.36,False
CREDITACC,BSE,0,6,1698.0,1687.6,1720.0,6,10320,-194.4,-1.88,False
CYBERTECH,NSE,157,0,142.7,143.6,158.5,157,24884,-2339.3,-9.4,False
DSSL,BSE,30,0,661.9,655.0,810.85,30,24325,-4675.5,-19.22,False
ECLERX,NSE,0,5,2151.9,2056.15,2152.17,5,10760,-480.1,-4.46,False
EXIDEIND,NSE,37,0,268.15,268.7,269.597297,37,9975,-33.2,-0.33,False
FIVESTAR,NSE,0,13,789.2,782.2,784.5,13,10198,-29.9,-0.29,False
GAIL,BSE,0,80,125.65,124.25,125.0,80,10000,-60.0,-0.6,False
GENCON,BSE,440,0,49.2,49.5,57.0,440,25080,-3300.0,-13.16,False
GICRE,NSE,43,0,226.5,224.4,230.3,43,9902,-253.7,-2.56,False
GILLETTE,BSE,0,2,6365.0,6368.05,6360.75,2,12721,14.6,0.11,True
GNFC,BSE,0,15,675.65,675.6,687.65,15,10314,-180.75,-1.75,False
GODFRYPHLP,NSE,5,0,2079.35,2087.55,2103.15,5,10515,-78.0,-0.74,False
GODREJIND,NSE,15,0,668.25,667.7,667.75,15,10016,-0.75,-0.01,False
GPIL,NSE,16,0,623.95,618.5,625.88125,16,10014,-118.1,-1.18,False
GSFC,BSE,54,0,181.35,182.35,186.8,54,10087,-240.3,-2.38,False
HDFCAMC,BSE,0,4,2785.95,2761.55,2762.9,4,11051,-5.4,-0.05,False
HEROMOTOCO,NSE,3,0,3105.2,3173.9,3164.0,3,9492,29.7,0.31,True
INDIGO,NSE,4,0,2501.75,2580.4,2594.55,4,10378,-56.6,-0.55,False
INDORAMA,NSE,441,0,51.4,51.25,56.75,441,25026,-2425.5,-9.69,False
IRB,BSE,279,0,34.91,35.41,35.8,279,9988,-108.81,-1.09,False
ISEC,NSE,15,0,656.35,660.0,661.7,15,9925,-25.5,-0.26,False
JAYNECOIND,BSE,254,0,37.5,37.46,39.6,254,10058,-543.56,-5.4,False
JKCEMENT,NSE,0,3,3463.5,3390.4,3460.0,3,10380,-208.8,-2.01,False
KAYNES,BSE,4,0,2451.15,2484.55,2493.0,4,9972,-33.8,-0.34,False
KKCL,NSE,12,0,763.8,766.8,782.05,12,9384,-183.0,-1.95,False
KRISHANA,NSE,19,0,238.25,251.05,0.0,19,0,4769.95,0.0,False
KSB,BSE,3,0,3028.2,3090.05,3162.75,3,9488,-218.1,-2.3,False
L&TFH,NSE,70,0,140.8,140.95,142.4,70,9968,-101.5,-1.02,False
LINDEINDIA,NSE,2,0,6043.15,6098.25,6213.65,2,12427,-230.8,-1.86,False
MADRASFERT,BSE,309,0,76.62,76.92,80.920064,309,25004,-1236.02,-4.94,False
MAHESHWARI,NSE,261,0,85.15,85.15,95.65,261,24964,-2740.5,-10.98,False
MANGLMCEM,BSE,60,0,412.45,411.05,415.6,60,24936,-273.0,-1.09,False
MAPMYINDIA,BSE,5,0,2048.0,2063.3,2077.51,5,10387,-71.05,-0.68,False
MURUDCERA-BE,NSE,358,0,62.25,64.1,69.75,358,24970,-2022.7,-8.1,False
NMDC,NSE,0,59,168.7,163.05,169.1,59,9976,-356.95,-3.58,False
NTPC,BSE,0,42,242.75,237.7,240.1,42,10084,-100.8,-1.0,False
OBCL,NSE,396,0,58.55,58.8,67.041666,396,26548,-3263.7,-12.29,False
OBEROIRLTY,NSE,8,0,1256.65,1256.3,1262.4,8,10099,-48.8,-0.48,False
OIL,NSE,32,0,305.75,302.3,315.0,32,10080,-406.4,-4.03,False
OLECTRA,NSE,8,0,1162.55,1171.65,1187.5,8,9500,-126.8,-1.33,False
PGHH,NSE,0,1,17810.7,17223.95,17815.9,1,17815,-591.95,-3.32,False
PGHL,BSE,2,0,5209.2,5151.15,5176.65,2,10353,-51.0,-0.49,False
PNB,NSE,132,0,76.25,76.0,75.65,132,9985,46.2,0.46,True
PNBHOUSING,NSE,33,0,743.6,745.25,747.3,33,24660,-67.65,-0.27,False
PRITIKAUTO,BSE,814,0,21.7,20.72,22.95,814,18681,-1815.22,-9.72,False
PRSMJOHNSN,NSE,0,64,153.3,152.75,155.6,64,9958,-182.4,-1.83,False
PRUDENT,BSE,7,0,1207.2,1181.05,1275.4,7,8927,-660.45,-7.4,False
PUNJABCHEM,BSE,19,0,1145.6,1153.75,1265.0,19,24035,-2113.75,-8.79,False
RAJTV,BSE,1389,0,52.55,52.75,54.2,1389,75283,-2014.05,-2.68,False
RANEHOLDIN,NSE,19,0,1212.35,1215.4,1301.55,19,24729,-1636.85,-6.62,False
REPL,NSE,110,0,210.25,214.1,226.25,110,24887,-1336.5,-5.37,False
RML,NSE,29,0,792.2,794.65,846.210344,29,24540,-1495.25,-6.09,False
ROUTE,NSE,6,0,1555.1,1555.0,1558.05,6,9348,-18.3,-0.2,False
RUSHIL,NSE,134,0,344.5,347.0,370.804477,134,49687,-3189.8,-6.42,False
RVHL-BE,NSE,112,0,35.1,34.75,44.75,112,5012,-1120.0,-22.35,False
SBILIFE,BSE,18,0,1353.8,1350.35,1362.4,18,24523,-216.9,-0.88,False
SHAREINDIA,NSE,16,0,1521.2,1495.0,1552.35,16,24837,-917.6,-3.69,False
SHEMAROO,NSE,160,0,142.8,142.0,156.147812,160,24983,-2263.65,-9.06,False
SKCIL,BSE,23,0,140.8,141.95,154.0,23,3542,-277.15,-7.82,False
SKIPPER,BSE,99,0,234.7,234.7,249.1,99,24660,-1425.6,-5.78,False
SOFTTECH,BSE,36,0,218.85,210.25,272.9,36,9824,-2255.4,-22.96,False
SUNDRMFAST,NSE,19,0,1265.85,1251.25,1298.855263,19,24678,-904.5,-3.67,False
SUNTECK,NSE,22,0,447.75,452.55,452.95,22,9964,-8.8,-0.09,False
TATAMOTORS,NSE,15,0,651.05,649.35,648.75,15,9731,9.0,0.09,True
UNIONBANK,NSE,95,0,104.0,103.95,105.0,95,9975,-99.75,-1.0,False
VARROC,NSE,21,0,469.7,455.7,483.12619,21,10145,-575.95,-5.68,False
VEDL,BSE,0,41,245.25,235.15,242.7,41,9950,-309.55,-3.11,False
VISHAL,NSE,1118,0,20.45,20.2,22.35,1118,24987,-2403.7,-9.62,False
WELSPUNIND,BSE,159,0,149.0,149.55,157.15,159,24986,-1208.4,-4.84,False
