tradingsymbol,exchange,quantity,t1_quantity,last_price,close_price,average_price,calculated,cap,unrealized,perc,perc_gr_0
ADVANIHOTR,NSE,0,213,115.45,114.75,117.15,213,24952,-511.2,-2.05,False
AEROFLEX,BSE,154,0,163.55,162.0,162.4,154,25009,-61.6,-0.25,False
AHLADA,NSE,208,0,113.95,113.35,120.05,208,24970,-1393.6,-5.58,False
AJMERA,BSE,62,0,389.6,389.6,401.637903,62,24901,-746.35,-3.0,False
ANANDRATHI,BSE,12,0,1989.75,2001.2,2044.45,12,24533,-519.0,-2.12,False
ANMOL,BSE,0,0,54.95,53.62,53.15,0,0,0.0,0.0,False
ARIHANTCAP,NSE,361,0,68.8,69.2,69.032548,361,24920,60.45,0.24,True
ARVIND,BSE,0,123,203.75,199.0,203.927642,123,25083,-606.1,-2.42,False
ASHIANA,NSE,113,0,222.25,222.25,219.963716,113,24855,258.35,1.04,True
BAJAJCON,NSE,40,0,237.25,234.85,247.6,40,9904,-510.0,-5.15,False
BBTC,NSE,17,0,1426.45,1428.0,1461.5,17,24845,-569.5,-2.29,False
BIL,BSE,40,0,233.0,234.3,255.0175,40,10200,-828.7,-8.12,False
BIRLAMONEY,BSE,243,0,104.4,100.36,103.05,243,25041,-653.67,-2.61,False
BRNL,BSE,588,0,42.22,42.78,42.407482,588,24935,219.04,0.88,True
BSOFT,BSE,0,0,590.65,577.7,575.45,0,0,0.0,0.0,False
CENTENKA,NSE,54,0,420.5,427.05,455.75,54,24610,-1549.8,-6.3,False
CHAMBLFERT,BSE,86,0,288.35,286.2,289.25,86,24875,-262.3,-1.05,False
CHOLAHLDNG,NSE,21,0,1149.7,1133.3,1140.0,21,23940,-140.7,-0.59,False
CINEVISTA,BSE,422,0,16.55,16.5,23.65,422,9980,-3017.3,-30.23,False
CONCORDBIO,NSE,20,0,1136.55,1130.55,1209.995,20,24199,-1588.9,-6.57,False
CYBERTECH,BSE,157,0,151.05,147.95,158.5,157,24884,-1656.35,-6.66,False
DLF,NSE,43,0,581.4,577.9,576.65,43,24795,53.75,0.22,True
DSSL,NSE,30,0,682.75,650.5,810.85,30,24325,-4810.5,-19.78,False
