tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,ltp,open,high,low,close,qty,Invested,value,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
ADANIPOWER,NSE,4451329.0,INE814H01011,CNC,0.0,25.0,0.0,0.0,25.0,0.0,2023-11-11 00:00:00,{},25.0,0.0,0.0,,False,407.5,399.4,401.1,-202.50000000000057,-1.7000000000000455,-0.4238344552480791,holdings,NSE:ADANIPOWER,399.4,400.0,406.8,395.3,401.1,25,10187.5,9985.0,10170.0,-202.5,-17.5,-2.0,-0.2,10027.5,-42.5,-0.4
AHLADA,NSE,513025.0,INE00PV01013,CNC,0.0,208.0,0.0,0.0,208.0,0.0,2023-11-11 00:00:00,{},208.0,0.0,0.0,,False,120.0,112.2,111.0,-1632.7999999999988,1.2000000000000028,1.0810810810810836,holdings,NSE:AHLADA,112.2,113.0,113.0,110.7,111.0,208,24970.4,23337.6,23504.0,-1632.8,-1466.3999999999978,-6.5,-5.9,23088.0,249.6,1.1
ANANDRATHI,BSE,139114244.0,INE463V01026,CNC,0.0,12.0,0.0,0.0,12.0,0.0,2023-11-11 00:00:00,{},12.0,0.0,0.0,,False,2044.4,2079.2,2010.45,416.99999999999727,68.74999999999977,3.4196324206023414,holdings,BSE:ANANDRATHI,2079.2,2008.0,2099.9,1999.6,2010.4,12,24533.4,24950.4,25198.800000000003,417.0,665.4000000000015,1.7,2.7,24125.4,825.0,3.4
ARIHANTCAP,NSE,976129.0,INE420B01036,CNC,0.0,361.0,0.0,0.0,361.0,0.0,2023-11-11 00:00:00,{},361.0,0.0,0.0,,False,69.0,69.05,67.65,6.300171999996962,1.3999999999999915,2.0694752402069345,holdings,NSE:ARIHANTCAP,69.0,68.0,69.8,66.8,67.6,361,24920.7,24927.0,25197.8,6.3,277.05017199999565,0.0,1.1,24421.6,505.4,2.1
ASTERDM,BSE,138489604.0,INE914M01019,CNC,0.0,29.0,0.0,0.0,29.0,0.0,2023-11-11 00:00:00,{},29.0,0.0,0.0,,False,339.5,336.8,333.65,-77.39998500000041,3.150000000000034,0.9441031020530599,holdings,BSE:ASTERDM,336.8,333.0,340.9,329.7,333.6,29,9844.6,9767.2,9886.099999999999,-77.4,41.5000149999978,-0.8,0.4,9675.8,91.4,0.9
BAJAJ-AUTO,NSE,4267265.0,INE917I01010,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-11-11 00:00:00,{},2.0,0.0,0.0,,False,5404.8,5392.05,5418.9,-25.600000000000364,-26.849999999999454,-0.49548801417260807,holdings,NSE:BAJAJ-AUTO,5392.0,5410.0,5427.0,5349.0,5418.9,2,10809.7,10784.1,10854.1,-25.6,44.399999999999636,-0.2,0.4,10837.8,-53.7,-0.5
BAJAJCON,NSE,4999937.0,INE933K01021,CNC,0.0,40.0,0.0,0.0,40.0,0.0,2023-11-11 00:00:00,{},40.0,0.0,0.0,,False,247.6,226.05,219.85,-861.9999999999993,6.200000000000017,2.820104616784179,holdings,NSE:BAJAJCON,226.0,221.2,228.5,220.6,219.8,40,9904.0,9042.0,9140.0,-862.0,-764.0,-8.7,-7.7,8794.0,248.0,2.8
BAJAJFINSV,NSE,4268801.0,INE918I01026,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-11-11 00:00:00,{},6.0,0.0,0.0,,False,1573.6,1596.0,1582.25,134.09999999999945,13.75,0.869015642281561,holdings,NSE:BAJAJFINSV,1596.0,1581.0,1598.8,1572.6,1582.2,6,9441.9,9576.0,9592.8,134.1,150.89999999999782,1.4,1.6,9493.5,82.5,0.9
BALKRISIND,BSE,128602884.0,INE787D01026,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-11-11 00:00:00,{},4.0,0.0,0.0,,False,2592.4,2582.7,2583.6,-38.80000000000109,-0.900000000000091,-0.034835113794708585,holdings,BSE:BALKRISIND,2582.7,2617.0,2617.0,2550.0,2583.6,4,10369.6,10330.8,10467.8,-38.8,98.19999999999891,-0.4,0.9,10334.4,-3.6,-0.0
BALRAMCHIN,NSE,87297.0,INE119A01028,CNC,0.0,0.0,0.0,23.0,0.0,0.0,2023-11-11 00:00:00,{},23.0,0.0,0.0,,False,437.5,437.5,432.6,-0.44999500000000126,4.899999999999977,1.1326860841423896,holdings,NSE:BALRAMCHIN,437.5,430.2,439.9,430.2,432.6,23,10062.9,10062.5,10117.699999999999,-0.4,54.750004999998055,-0.0,0.5,9949.8,112.7,1.1
BHEL,NSE,112129.0,INE257A01026,CNC,0.0,0.0,0.0,78.0,0.0,0.0,2023-11-11 00:00:00,{},78.0,0.0,0.0,,False,129.0,129.05,125.8,7.8000000000017735,3.250000000000014,2.5834658187599477,holdings,NSE:BHEL,129.0,125.6,130.2,123.8,125.8,78,10058.1,10065.9,10155.599999999999,7.8,97.5,0.1,1.0,9812.4,253.5,2.6
BIL,BSE,134826500.0,INE828A01016,CNC,0.0,40.0,0.0,0.0,40.0,0.0,2023-11-11 00:00:00,{},40.0,0.0,0.0,,False,255.0,232.35,230.7,-906.7000000000007,1.6500000000000057,0.7152145643693133,holdings,BSE:BIL,232.4,231.2,235.6,229.8,230.7,40,10200.7,9294.0,9424.0,-906.7,-776.7000000000007,-8.9,-7.6,9228.0,66.0,0.7
BLUESTARCO,NSE,2127617.0,INE472A01039,CNC,0.0,10.0,0.0,0.0,10.0,0.0,2023-11-11 00:00:00,{},10.0,0.0,0.0,,False,969.0,950.0,921.8,-189.85000000000014,28.200000000000045,3.0592319375135655,holdings,NSE:BLUESTARCO,950.0,922.0,959.5,916.0,921.8,10,9689.8,9500.0,9595.0,-189.9,-94.85000000000036,-2.0,-1.0,9218.0,282.0,3.1
BORORENEW,NSE,806145.0,INE666D01022,CNC,0.0,0.0,0.0,23.0,0.0,0.0,2023-11-11 00:00:00,{},23.0,0.0,0.0,,False,436.7,431.5,430.25,-118.70000999999974,1.25,0.2905287623474724,holdings,NSE:BORORENEW,431.5,428.0,438.8,426.4,430.2,23,10043.2,9924.5,10091.25,-118.7,48.049989999999525,-1.2,0.5,9895.8,28.8,0.3
BRNL,BSE,138419204.0,INE727S01012,CNC,0.0,588.0,0.0,0.0,588.0,0.0,2023-11-11 00:00:00,{},588.0,0.0,0.0,,False,42.4,40.49,41.2,-1127.479416,-0.7100000000000009,-1.7233009708737885,holdings,BSE:BRNL,40.5,40.9,40.9,39.7,41.2,588,24935.6,23808.1,24049.2,-1127.5,-886.3994160000002,-4.5,-3.6,24225.6,-417.5,-1.7
BSOFT,NSE,1790465.0,INE836A01035,CNC,0.0,17.0,0.0,0.0,17.0,0.0,2023-11-11 00:00:00,{},17.0,0.0,0.0,,False,586.6,583.4,583.0,-55.25,0.39999999999997726,0.0686106346483666,holdings,NSE:BSOFT,583.4,584.6,593.9,580.0,583.0,17,9973.0,9917.8,10096.3,-55.2,123.25,-0.6,1.2,9911.0,6.8,0.1
CENTENKA,BSE,128071684.0,INE485A01015,CNC,0.0,54.0,0.0,0.0,54.0,0.0,2023-11-11 00:00:00,{},54.0,0.0,0.0,,False,455.8,413.0,414.2,-2308.5,-1.1999999999999886,-0.28971511347175005,holdings,BSE:CENTENKA,413.0,412.8,413.0,408.0,414.2,54,24610.5,22302.0,22302.0,-2308.5,-2308.5,-9.4,-9.4,22366.8,-64.8,-0.3
CHOLAHLDNG,BSE,129273092.0,INE149A01033,CNC,0.0,21.0,0.0,0.0,21.0,0.0,2023-11-11 00:00:00,{},21.0,0.0,0.0,,False,1140.0,1126.3,1116.3,-287.70000000000095,10.0,0.8958165367732689,holdings,BSE:CHOLAHLDNG,1126.3,1138.6,1155.0,1107.0,1116.3,21,23940.0,23652.3,24255.0,-287.7,315.0,-1.2,1.3,23442.3,210.0,0.9
CINEVISTA,BSE,136274948.0,INE039B01026,CNC,0.0,844.0,0.0,0.0,844.0,0.0,2023-11-11 00:00:00,{},844.0,0.0,0.0,,False,20.2,17.6,18.2,-2215.5,-0.5999999999999979,-3.296703296703285,holdings,BSE:CINEVISTA,17.6,17.8,18.6,17.4,18.2,844,17069.9,14854.4,15698.400000000001,-2215.5,-1371.5,-13.0,-8.0,15360.8,-506.4,-3.3
COCHINSHIP,BSE,138413572.0,INE704P01017,CNC,0.0,0.0,0.0,9.0,0.0,0.0,2023-11-11 00:00:00,{},9.0,0.0,0.0,,False,1061.8,1052.5,1037.7,-84.05000100000098,14.799999999999955,1.4262310879830349,holdings,BSE:COCHINSHIP,1052.5,1039.0,1068.0,1030.0,1037.7,9,9556.6,9472.5,9612.0,-84.1,55.44999899999857,-0.9,0.6,9339.3,133.2,1.4
CRAFTSMAN,NSE,730625.0,INE00LO01017,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-11-11 00:00:00,{},2.0,0.0,0.0,,False,4927.0,4888.05,4909.1,-77.89999999999964,-21.050000000000182,-0.4287955022305551,holdings,NSE:CRAFTSMAN,4888.0,4909.0,4956.0,4876.0,4909.1,2,9854.0,9776.1,9912.0,-77.9,58.0,-0.8,0.6,9818.2,-42.1,-0.4
CREDITACC,BSE,138693124.0,INE741K01010,CNC,0.0,0.0,0.0,6.0,0.0,0.0,2023-11-11 00:00:00,{},6.0,0.0,0.0,,False,1720.0,1698.0,1687.6,-132.0,10.400000000000091,0.6162597771983936,holdings,BSE:CREDITACC,1698.0,1680.0,1725.0,1673.5,1687.6,6,10320.0,10188.0,10349.7,-132.0,29.700000000000728,-1.3,0.3,10125.6,62.4,0.6
CYBERTECH,NSE,1549057.0,INE214A01019,CNC,0.0,157.0,0.0,0.0,157.0,0.0,2023-11-11 00:00:00,{},157.0,0.0,0.0,,False,158.5,142.7,143.6,-2480.6000000000017,-0.9000000000000057,-0.6267409470752129,holdings,NSE:CYBERTECH,142.7,143.6,144.2,141.8,143.6,157,24884.5,22403.9,22639.399999999998,-2480.6,-2245.100000000002,-10.0,-9.0,22545.2,-141.3,-0.6
DSSL,BSE,136285444.0,INE417B01040,CNC,0.0,30.0,0.0,0.0,30.0,0.0,2023-11-11 00:00:00,{},30.0,0.0,0.0,,False,810.8,661.9,655.0,-4468.500000000002,6.899999999999977,1.0534351145038134,holdings,BSE:DSSL,661.9,679.0,679.0,656.5,655.0,30,24325.5,19857.0,20368.5,-4468.5,-3957.0,-18.4,-16.3,19650.0,207.0,1.1
ECLERX,NSE,3885825.0,INE738I01010,CNC,0.0,0.0,0.0,5.0,0.0,0.0,2023-11-11 00:00:00,{},5.0,0.0,0.0,,False,2152.2,2151.9,2056.15,-1.349999999999909,95.75,4.656761423047929,holdings,NSE:ECLERX,2151.9,2167.9,2195.0,2110.0,2056.2,5,10760.8,10759.5,10975.0,-1.4,214.14999999999964,-0.0,2.0,10280.8,478.8,4.7
EXIDEIND,NSE,173057.0,INE302A01020,CNC,0.0,37.0,0.0,0.0,37.0,0.0,2023-11-11 00:00:00,{},37.0,0.0,0.0,,False,269.6,268.15,268.7,-53.5499890000018,-0.5500000000000114,-0.20468924451061085,holdings,NSE:EXIDEIND,268.2,268.4,269.6,266.0,268.7,37,9975.1,9921.6,9975.2,-53.5,0.10001100000044971,-0.5,0.0,9941.9,-20.4,-0.2
FIVESTAR,NSE,3080193.0,INE128S01021,CNC,0.0,0.0,0.0,13.0,0.0,0.0,2023-11-11 00:00:00,{},13.0,0.0,0.0,,False,784.5,789.2,782.2,61.10000000000059,7.0,0.8949117872666836,holdings,NSE:FIVESTAR,789.2,784.6,794.0,770.2,782.2,13,10198.5,10259.6,10321.35,61.1,122.85000000000036,0.6,1.2,10168.6,91.0,0.9
GAIL,BSE,136231684.0,INE129A01019,CNC,0.0,0.0,0.0,80.0,0.0,0.0,2023-11-11 00:00:00,{},80.0,0.0,0.0,,False,125.0,125.65,124.25,52.000000000000455,1.4000000000000057,1.1267605633802862,holdings,BSE:GAIL,125.6,124.0,125.9,123.2,124.2,80,10000.0,10052.0,10072.0,52.0,72.0,0.5,0.7,9940.0,112.0,1.1
GENCON,BSE,138088196.0,INE854S01022,CNC,0.0,440.0,0.0,0.0,440.0,0.0,2023-11-11 00:00:00,{},440.0,0.0,0.0,,False,57.0,49.2,49.5,-3431.9999999999986,-0.29999999999999716,-0.6060606060606003,holdings,BSE:GENCON,49.2,50.9,51.8,47.0,49.5,440,25080.0,21648.0,22792.0,-3432.0,-2288.0,-13.7,-9.1,21780.0,-132.0,-0.6
GICRE,NSE,70913.0,INE481Y01014,CNC,0.0,43.0,0.0,0.0,43.0,0.0,2023-11-11 00:00:00,{},43.0,0.0,0.0,,False,230.3,226.5,224.4,-163.4000000000005,2.0999999999999943,0.9358288770053451,holdings,NSE:GICRE,226.5,223.0,227.6,221.4,224.4,43,9902.9,9739.5,9788.95,-163.4,-113.94999999999891,-1.7,-1.2,9649.2,90.3,0.9
GILLETTE,BSE,130000644.0,INE322A01010,CNC,0.0,0.0,0.0,2.0,0.0,0.0,2023-11-11 00:00:00,{},2.0,0.0,0.0,,False,6360.8,6365.0,6368.05,8.5,-3.050000000000182,-0.047895352580463124,holdings,BSE:GILLETTE,6365.0,6387.3,6387.3,6350.5,6368.0,2,12721.5,12730.0,12774.6,8.5,53.100000000000364,0.1,0.4,12736.1,-6.1,-0.0
GNFC,BSE,128171524.0,INE113A01013,CNC,0.0,0.0,0.0,15.0,0.0,0.0,2023-11-11 00:00:00,{},15.0,0.0,0.0,,False,687.6,675.65,675.6,-180.0,0.049999999999954525,0.007400828892829267,holdings,BSE:GNFC,675.6,682.0,693.6,671.8,675.6,15,10314.8,10134.8,10404.0,-180.0,89.25,-1.7,0.9,10134.0,0.8,0.0
GODFRYPHLP,NSE,302337.0,INE260B01028,CNC,0.0,5.0,0.0,0.0,5.0,0.0,2023-11-11 00:00:00,{},5.0,0.0,0.0,,False,2103.2,2079.35,2087.55,-119.00000000000091,-8.200000000000273,-0.3928049627553961,holdings,NSE:GODFRYPHLP,2079.4,2090.0,2115.0,2070.0,2087.6,5,10515.8,10396.8,10575.0,-119.0,59.25,-1.1,0.6,10437.8,-41.0,-0.4
GODREJIND,NSE,2796801.0,INE233A01035,CNC,0.0,15.0,0.0,0.0,15.0,0.0,2023-11-11 00:00:00,{},15.0,0.0,0.0,,False,667.8,668.25,667.7,7.5,0.5499999999999545,0.08237232289949895,holdings,NSE:GODREJIND,668.2,665.0,671.0,655.9,667.7,15,10016.2,10023.8,10065.0,7.5,48.75,0.1,0.5,10015.5,8.2,0.1
GPIL,NSE,3432705.0,INE177H01021,CNC,0.0,16.0,0.0,0.0,16.0,0.0,2023-11-11 00:00:00,{},16.0,0.0,0.0,,False,625.9,623.95,618.5,-30.899999999999636,5.4500000000000455,0.881164106709789,holdings,NSE:GPIL,624.0,616.0,629.0,616.0,618.5,16,10014.1,9983.2,10064.0,-30.9,49.899999999999636,-0.3,0.5,9896.0,87.2,0.9
GSFC,BSE,128176644.0,INE026A01025,CNC,0.0,54.0,0.0,0.0,54.0,0.0,2023-11-11 00:00:00,{},54.0,0.0,0.0,,False,186.8,181.35,182.35,-294.3000000000009,-1.0,-0.5483959418700302,holdings,BSE:GSFC,181.4,182.9,183.5,179.4,182.4,54,10087.2,9792.9,9909.0,-294.3,-178.20000000000073,-2.9,-1.8,9846.9,-54.0,-0.5
HDFCAMC,BSE,138682628.0,INE127D01025,CNC,0.0,0.0,0.0,4.0,0.0,0.0,2023-11-11 00:00:00,{},4.0,0.0,0.0,,False,2762.9,2785.95,2761.55,92.19999999999891,24.399999999999636,0.8835617678477535,holdings,BSE:HDFCAMC,2786.0,2763.6,2787.3,2742.6,2761.6,4,11051.6,11143.8,11149.2,92.2,97.60000000000036,0.8,0.9,11046.2,97.6,0.9
HEROMOTOCO,NSE,345089.0,INE158A01026,CNC,0.0,3.0,0.0,0.0,3.0,0.0,2023-11-11 00:00:00,{},3.0,0.0,0.0,,False,3164.0,3105.2,3173.9,-176.40000000000055,-68.70000000000027,-2.164529443271693,holdings,NSE:HEROMOTOCO,3105.2,3173.8,3179.0,3095.2,3173.9,3,9492.0,9315.6,9537.150000000001,-176.4,45.150000000001455,-1.9,0.5,9521.7,-206.1,-2.2
