tradingsymbol,exchange,instrument_token,product,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value,source,key,ltp,open,high,low,close,qty,Invested,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
ADVANIHOTR,BSE,133956868,CNC,-213,0,1,120.9,0,119.2,-25389.6,362.09999999999854,362.09999999999854,362.09999999999854,0,0,0.0,0.0,0.0,213,120.9,25751.7,25751.7,0,0.0,0.0,213,120.9,25751.7,positions,BSE:ADVANIHOTR,119.2,120.0,122.4,116.3,114.8,-213,-25751.7,-26066.94,362.1,-315.23999999999796,-1.4,1.2,-24463.0,-926.6,3.8
BAJAJHIND,BSE,128008196,CNC,-853,0,1,30.5,0,33.98,-28984.9,-2934.3199999999997,-2934.3199999999997,-2934.3199999999997,0,0,0.0,0.0,0.0,853,30.54,26050.62,26050.62,0,0.0,0.0,853,30.54,26050.62,positions,BSE:BAJAJHIND,34.0,30.5,34.9,30.1,29.3,-853,-26050.6,-29752.640000000003,-2934.3,-3702.020000000004,11.3,14.2,-24958.8,-4026.2,16.1
IFGLEXPOR,BSE,138438148,CNC,-49,0,1,567.4,0,598.0,-29302.0,-1501.8499999999985,-1501.8499999999985,-1501.8499999999985,0,0,0.0,0.0,0.0,49,567.35,27800.15,27800.15,0,0.0,0.0,49,567.35,27800.15,positions,BSE:IFGLEXPOR,598.0,566.0,603.0,560.1,502.5,-49,-27800.2,-29547.0,-1501.8,-1746.8499999999985,5.4,6.3,-24622.5,-4679.5,19.0
INOXWIND,BSE,138005252,CNC,-113,0,1,225.4,0,238.3,-26927.9,-1457.7000000000007,-1457.7000000000007,-1457.7000000000007,0,0,0.0,0.0,0.0,113,225.4,25470.2,25470.2,0,0.0,0.0,113,225.4,25470.2,positions,BSE:INOXWIND,238.3,219.0,240.0,216.4,215.0,-113,-25470.2,-27120.0,-1457.7,-1649.7999999999993,5.7,6.5,-24295.0,-2632.9,10.8
NAM-INDIA,BSE,138436356,CNC,-64,0,1,400.0,0,403.55,-25827.2,-228.95000000000073,-228.95000000000073,-228.95000000000073,0,0,0.0,0.0,0.0,64,399.97265625,25598.25,25598.25,0,0.0,0.0,64,399.97265625,25598.25,positions,BSE:NAM-INDIA,403.6,397.7,406.8,392.0,393.6,-64,-25598.2,-26035.2,-229.0,-436.9500000000007,0.9,1.7,-25193.6,-633.6,2.5
SATIN,BSE,138087428,CNC,-94,0,1,270.6,0,264.7,-24881.8,554.6000000000022,554.6000000000022,554.6000000000022,0,0,0.0,0.0,0.0,94,270.6,25436.4,25436.4,0,0.0,0.0,94,270.6,25436.4,positions,BSE:SATIN,264.7,266.8,271.8,263.2,262.8,-94,-25436.4,-25549.2,554.6,-112.79999999999927,-2.2,0.4,-24698.5,-183.3,0.7
SPANDANA,BSE,138946308,CNC,-27,0,1,932.1,0,900.85,-24323.0,842.6500000000015,842.6500000000015,842.6500000000015,0,0,0.0,0.0,0.0,27,932.0592592592593,25165.600000000002,25165.600000000002,0,0.0,0.0,27,932.0592592592593,25165.600000000002,positions,BSE:SPANDANA,900.8,927.0,948.0,894.8,918.6,-27,-25165.6,-25594.65,842.7,-429.0499999999993,-3.3,1.7,-24800.8,477.9,-1.9
TEXINFRA,BSE,129382404,CNC,-286,0,1,89.3,0,92.53,-26463.6,-937.7800000000025,-937.7800000000025,-937.7800000000025,0,0,0.0,0.0,0.0,286,89.25104895104894,25525.8,25525.8,0,0.0,0.0,286,89.25104895104894,25525.8,positions,BSE:TEXINFRA,92.5,87.0,97.6,85.9,86.4,-286,-25525.8,-27899.3,-937.8,-2373.5,3.7,9.3,-24696.1,-1767.5,7.2
TPLPLAST,BSE,134804996,CNC,-463,0,1,55.5,0,54.98,-25455.7,228.34000000000378,228.34000000000378,228.34000000000378,0,0,0.0,0.0,0.0,463,55.47317494600432,25684.08,25684.08,0,0.0,0.0,463,55.47317494600432,25684.08,positions,BSE:TPLPLAST,55.0,54.0,58.2,54.0,54.3,-463,-25684.1,-26941.969999999998,228.3,-1257.8899999999958,-0.9,4.9,-25150.2,-305.6,1.2
VAKRANGEE,BSE,130926340,CNC,-1336,0,1,19.3,0,18.71,-24996.6,788.239999999998,788.239999999998,788.239999999998,0,0,0.0,0.0,0.0,1336,19.3,25784.8,25784.8,0,0.0,0.0,1336,19.3,25784.8,positions,BSE:VAKRANGEE,18.7,18.8,19.4,18.4,18.7,-1336,-25784.8,-25864.96,788.2,-80.15999999999985,-3.1,0.3,-25009.9,13.4,-0.1
AEROFLEX,NSE,4676609,CNC,-154,0,1,171.0,0,163.1,-25117.4,1224.300000000003,1224.300000000003,1224.300000000003,0,0,0.0,0.0,0.0,154,171.05,26341.7,26341.7,0,0.0,0.0,154,171.05,26341.7,positions,NSE:AEROFLEX,163.1,165.0,172.7,162.2,163.4,-154,-26341.7,-26595.8,1224.3,-254.09999999999854,-4.6,1.0,-25155.9,38.5,-0.2
ASAHISONG,NSE,6422529,CNC,-88,0,1,297.7,0,283.45,-24943.6,1251.75,1251.75,1251.75,0,0,0.0,0.0,0.0,88,297.6744318181818,26195.35,26195.35,0,0.0,0.0,88,297.6744318181818,26195.35,positions,NSE:ASAHISONG,283.4,288.9,301.0,280.8,287.2,-88,-26195.4,-26483.6,1251.8,-288.25,-4.8,1.1,-25273.6,330.0,-1.3
ASTERDM,NSE,386049,CNC,29,0,1,339.5,0,335.45,9728.0,-116.55000000000109,-116.55000000000109,-116.55000000000109,0,29,339.4689655172414,9844.6,9844.6,0,0.0,0.0,0.0,29,339.4689655172414,9844.6,0,0.0,0.0,positions,NSE:ASTERDM,335.4,343.8,348.0,334.8,340.8,29,9844.6,10092.0,-116.6,247.39999999999964,-1.2,2.5,9884.7,-156.6,-1.6
BHEL,NSE,112129,CNC,78,0,1,128.4,0,130.05,10143.9,128.70000000000073,128.70000000000073,128.70000000000073,0,78,128.4,10015.2,10015.2,0,0.0,0.0,0.0,78,128.4,10015.2,0,0.0,0.0,positions,NSE:BHEL,130.0,129.4,131.2,127.6,128.6,78,10015.2,10233.599999999999,128.7,218.39999999999782,1.3,2.2,10030.8,113.1,1.1
ELECON,NSE,3492609,CNC,-28,0,1,931.4,0,922.85,-25839.8,238.0,238.0,238.0,0,0,0.0,0.0,0.0,28,931.35,26077.8,26077.8,0,0.0,0.0,28,931.35,26077.8,positions,NSE:ELECON,922.8,888.0,964.6,888.0,884.8,-28,-26077.8,-27007.399999999998,238.0,-929.5999999999985,-0.9,3.6,-24773.0,-1066.8,4.3
ERIS,NSE,5415425,CNC,12,0,1,865.4,0,860.95,10331.4,-53.39999999999782,-53.39999999999782,-53.39999999999782,0,12,865.4,10384.8,10384.8,0,0.0,0.0,0.0,12,865.4,10384.8,0,0.0,0.0,positions,NSE:ERIS,861.0,877.0,879.7,855.7,873.0,12,10384.8,10556.400000000001,-53.4,171.60000000000218,-0.5,1.7,10476.0,-144.6,-1.4
INDIGO,NSE,2865921,CNC,4,0,1,2553.0,0,2559.3,10237.2,25.200000000000728,25.200000000000728,25.200000000000728,0,4,2553.0,10212.0,10212.0,0,0.0,0.0,0.0,4,2553.0,10212.0,0,0.0,0.0,positions,NSE:INDIGO,2559.3,2500.0,2580.0,2486.2,2509.2,4,10212.0,10320.0,25.2,108.0,0.2,1.1,10036.8,200.4,2.0
INFIBEAM,NSE,4159745,CNC,-1282,0,1,20.0,0,20.6,-26409.2,-769.2000000000007,-769.2000000000007,-769.2000000000007,0,0,0.0,0.0,0.0,1282,20.0,25640.0,25640.0,0,0.0,0.0,1282,20.0,25640.0,positions,NSE:INFIBEAM,20.6,19.8,20.9,19.3,19.6,-1282,-25640.0,-26793.8,-769.2,-1153.7999999999993,3.0,4.5,-25127.2,-1282.0,5.1
