"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Zee Entertainment Enterprises Ltd.","ZEEL","249.3","23945.75","2023-09-30","-234.37","2.23","22.88","330.18","ZEEL","505537","INE256A01028"
"Sun Pharma Advanced Research Company Ltd.","SPARC","248","8048.14","2023-09-30","-31.73","15.7","-11.57","9.37","SPARC","532872","INE232I01014"
"PCBL Ltd.","PCBL","242.9","9168.57","2023-09-30","21.25","3.23","10.33","12.34","PCBL","506590","INE602A01031"
"EIH Ltd.","EIHOTEL","236.95","14818","2023-09-30","34.94","4.27","6.52","-10.26","EIHOTEL","500840","INE230A01023"
"Vedanta Ltd.","VEDL","236.35","87856.17","2023-09-30","16.89","1.78","15.45","-167.54","VEDL","500295","INE205A01025"
"Biocon Ltd.","BIOCON","236","28334.16","2023-09-30","56.85","1.26","1.16","23.87","BIOCON","532523","INE376G01013"
"RBL Bank Ltd.","RBLBANK","234.1","14096.24","2023-09-30","12.01","1.04","6.82","3.63","RBLBANK","540065","INE976G01028"
"Rallis India Ltd.","RALLIS","229.6","4465.01","2023-09-30","45.37","2.58","6.39","30.16","RALLIS","500355","INE613A01020"
"India Cements Ltd.","INDIACEM","217.35","6735.62","2023-09-30","-25.8","1.25","-12","8.39","INDIACEM","530005","INE383A01012"
"Orient Electric Ltd.","ORIENTELEC","217.25","4635.37","2023-09-30","48.63","7.93","-19.66","-6.3","ORIENTELEC","541301","INE142Z01019"
"Aditya Birla Fashion and Retail Ltd.","ABFRL","215","20407.07","2023-09-30","-41.5","6.1","0.95","-26.67","ABFRL","535755","INE647O01011"
"Bandhan Bank Ltd.","BANDHANBNK","212.2","34183.46","2023-09-30","13.45","1.75","-0.68","0.02","BANDHANBNK","541153","INE545U01014"
"Power Grid Corporation of India Ltd.","POWERGRID","211.6","196800.78","2023-09-30","12.83","2.37","1.98","5.12","POWERGRID","532898","INE752E01010"
"Finolex Industries Ltd.","FINPIPE","205.15","12729.08","2023-09-30","27.71","2.6","-25.1","-15.06","FINPIPE","500940","INE183A01024"
"EPL Ltd.","EPL","199.95","6365.8","2023-09-30","25.27","3.19","10.04","-7","EPL","500135","INE255A01020"
"Petronet LNG Ltd.","PETRONET","195.85","29377.5","2023-09-30","8.42","1.92","7.52","4.45","PETRONET","532522","INE347G01014"
"Bank of Baroda","BANKBARODA","194.65","100660.57","2023-09-30","5.41","0.96","4.5","-0.55","BANKBARODA","532134","INE028A01039"
"Oil And Natural Gas Corporation Ltd.","ONGC","191","245114.79","2023-09-30","5.69","0.81","-10.35","-2.83","ONGC","500312","INE213A01029"
"Indus Towers Ltd.","INDUSTOWER","186.85","50354.9","2023-09-30","15.11","2.39","0.8","-3.95","INDUSTOWER","534816","INE121J01017"
"Indiabulls Housing Finance Ltd.","IBULHSGFIN","183.25","8787.4","2023-09-30","7.67","0.51","17.2","1.22","IBULHSGFIN","535789","INE148I01020"
